             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      15714056_199 sc-loprio collect_ siddhart  R       0:25      1 viscam6
      15714056_200 sc-loprio collect_ siddhart  R       0:25      1 viscam6
      15714056_201 sc-loprio collect_ siddhart  R       0:25      1 viscam6
      15714056_202 sc-loprio collect_ siddhart  R       0:25      1 viscam7
      15714056_203 sc-loprio collect_ siddhart  R       0:25      1 viscam7
      15714056_204 sc-loprio collect_ siddhart  R       0:25      1 viscam7
      15714056_205 sc-loprio collect_ siddhart  R       0:25      1 viscam4
      15714056_206 sc-loprio collect_ siddhart  R       0:25      1 viscam4
      15714056_207 sc-loprio collect_ siddhart  R       0:25      1 viscam3
      15714056_208 sc-loprio collect_ siddhart  R       0:25      1 viscam3
      15714056_209 sc-loprio collect_ siddhart  R       0:25      1 viscam5
      15714056_210 sc-loprio collect_ siddhart  R       0:25      1 viscam11
      15714056_211 sc-loprio collect_ siddhart  R       0:25      1 viscam14
      15714056_212 sc-loprio collect_ siddhart  R       0:25      1 viscam14
      15714056_213 sc-loprio collect_ siddhart  R       0:25      1 viscam14
      15714056_214 sc-loprio collect_ siddhart  R       0:25      1 viscam14
      15714056_215 sc-loprio collect_ siddhart  R       0:25      1 viscam14
      15714056_216 sc-loprio collect_ siddhart  R       0:25      1 viscam15
      15714056_217 sc-loprio collect_ siddhart  R       0:25      1 viscam15
      15714056_218 sc-loprio collect_ siddhart  R       0:25      1 viscam15
      15714056_219 sc-loprio collect_ siddhart  R       0:25      1 viscam15
      15714056_220 sc-loprio collect_ siddhart  R       0:25      1 viscam15
      15714056_221 sc-loprio collect_ siddhart  R       0:25      1 viscam15
      15714056_222 sc-loprio collect_ siddhart  R       0:25      1 viscam15
      15714056_223 sc-loprio collect_ siddhart  R       0:25      1 viscam15
      15714056_224 sc-loprio collect_ siddhart  R       0:25      1 viscam15
      15714056_225 sc-loprio collect_ siddhart  R       0:25      1 viscam15
      15714056_226 sc-loprio collect_ siddhart  R       0:25      1 viscam12
      15714056_227 sc-loprio collect_ siddhart  R       0:25      1 viscam12
      15714056_228 sc-loprio collect_ siddhart  R       0:25      1 viscam13
      15714056_229 sc-loprio collect_ siddhart  R       0:25      1 viscam13
      15714056_230 sc-loprio collect_ siddhart  R       0:25      1 viscam13
      15714056_231 sc-loprio collect_ siddhart  R       0:25      1 viscam13
      15714056_232 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_233 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_234 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_235 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_236 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_237 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_238 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_239 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_240 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_241 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_242 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_243 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_244 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_245 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_246 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_247 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_248 sc-loprio collect_ siddhart  R       0:25      1 viscam-hgx-1
      15714056_249 sc-loprio collect_ siddhart  R       0:25      1 miso3
      15714056_250 sc-loprio collect_ siddhart  R       0:25      1 miso3
      15714056_251 sc-loprio collect_ siddhart  R       0:25      1 miso3
      15714056_252 sc-loprio collect_ siddhart  R       0:25      1 miso3
      15714056_253 sc-loprio collect_ siddhart  R       0:25      1 miso3
      15714056_254 sc-loprio collect_ siddhart  R       0:25      1 miso3
      15714056_255 sc-loprio collect_ siddhart  R       0:25      1 miso3
      15714056_256 sc-loprio collect_ siddhart  R       0:25      1 miso3
      15714056_257 sc-loprio collect_ siddhart  R       0:25      1 miso3
