             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      15714480_465 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_466 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_467 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_468 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_469 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_470 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_471 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_472 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_473 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_474 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_475 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_476 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_477 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_478 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_479 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_480 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_481 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_482 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_483 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_484 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_485 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_486 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_487 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_488 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_489 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_490 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_491 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_492 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_493 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_494 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_495 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_496 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_497 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_498 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_499 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_500 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_501 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_502 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_503 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_504 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_505 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_506 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_507 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_508 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_509 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_510 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_511 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_512 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_513 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_514 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_515 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_516 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_517 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_518 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_519 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_520 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_521 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_522 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_523 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_524 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_525 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_526 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_527 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_528 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_529 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_530 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_531 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_532 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_533 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_534 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_535 sc-loprio collect_ siddhart  R       1:33      1 miso5
      15714480_286 sc-loprio collect_ siddhart  R       1:34      1 iliad2
      15714480_287 sc-loprio collect_ siddhart  R       1:34      1 iliad3
      15714480_288 sc-loprio collect_ siddhart  R       1:34      1 iliad4
      15714480_289 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_290 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_291 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_292 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_293 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_294 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_295 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_296 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_297 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_298 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_299 sc-loprio collect_ siddhart  R       1:34      1 iliad-hgx-1
      15714480_300 sc-loprio collect_ siddhart  R       1:34      1 sphinx4
      15714480_301 sc-loprio collect_ siddhart  R       1:34      1 sphinx4
