rank,path,run_id,num_transitions,return_sum,return_discounted,terminal_reward,reward_mean,E_fusion_total_MJ,H98_flattop_avg,H98_max,P_fusion_max_MW,P_ohmic_max_MW,Q_flattop_avg,Q_max,Q_max_time,T_e_core_max_keV,T_i_core_max_keV,beta_N_max,f_GW_max,flux_consumed_Wb,l_i_flattop_avg,n_e_line_avg_max,q0_min,q95_min,vloop_tx_flattop_avg_V
1,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0148.json,148,21,17.03104307316464,15.039271577646318,3.37185988826463,0.8110020511030781,72456.76685926752,0.7036674241937325,0.759907558122882,194.625887526873,7.430380803430299,4.590399093214675,5.344316242693063,360.0617883950619,12.638956616491141,10.605394036585851,1.1670984008380392,0.9691164863036074,142.03708034468087,0.7589628204286892,1.1190755592882022e+20,0.6283129973715555,2.8723189384527177,0.15960399662896216
2,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0423.json,423,21,16.82812553681105,14.890936860123425,3.233681531621818,0.8013393112767166,72232.59640490453,0.7013427338939549,0.7607385200749455,197.55702418420012,7.430391881633338,4.47034064364937,5.078870913455184,410.18526518518536,12.662144523810921,10.676230132990964,1.1756775785595655,0.9713462407575758,142.72659387940683,0.7582327987600932,1.1216893024852302e+20,0.661238270521839,2.877566233549826,0.16000511875490644
3,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0052.json,52,21,16.02329222214698,14.128283450345553,3.031018724851215,0.7630139153403325,72680.46885156866,0.7019329900318363,0.7432910704907819,199.69665949600966,7.430392698287814,4.540264104474107,5.510543390834743,400.6173739506174,12.529471174151142,10.776045199289928,1.1788876132796289,0.9721217783138639,143.928432076497,0.7588597354516967,1.12135165728819e+20,0.6382808199590045,2.894108014714248,0.159388140496813
4,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0189.json,189,21,15.477762834060801,13.716398459311806,2.774532551083545,0.7370363254314667,72508.69125965756,0.6982279637339321,0.7587873556656158,194.82890308011912,7.430393801700812,4.340148778956449,4.82386682962327,355.30870197530885,12.702580825338691,10.63117382864622,1.170172808377859,0.9710852939237883,142.14300492348673,0.7583698324391293,1.1208382404809592e+20,0.6349007584681957,2.881739476689781,0.15955834980333597
5,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0193.json,193,21,15.38482891196588,13.523182637178143,3.0934459689903853,0.7326109005698038,73964.99786323062,0.7001467638592458,0.736910810265692,204.8258912835593,7.430395089271579,4.455235333663619,5.68848568095584,446.4815714814814,12.322238354316763,10.831349119698281,1.1975876509485563,0.9814974512659052,142.91633170163496,0.7622745165705552,1.1336090228941237e+20,0.6509749864446666,2.721310625726746,0.15714458853994442
6,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0444.json,444,21,15.382142001273555,13.628163283562808,3.0305370381848444,0.7324829524415979,73516.15328734324,0.6990463518707009,0.742379955746953,200.504167180811,7.430390327377057,4.37752248133983,4.991638746795006,445.6791023456791,12.490650593210265,10.87108185253368,1.182223801054306,0.972191949230068,142.41847889849979,0.7614748748152413,1.1246399928891569e+20,0.6389233613410489,2.8954496094578657,0.15796624850599128
7,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0430.json,430,21,15.35399509244029,13.607671591134782,3.110726344044431,0.7311426234495376,74013.14984238485,0.6984835350582936,0.7610387949872416,201.53887324987306,7.430394138679266,4.342361961252946,4.983607200823161,420.18526518518536,12.673849850252369,10.696890311236821,1.188679552964779,0.976938878616501,141.09004084559666,0.760949090007515,1.1291813943317607e+20,0.633443190466431,2.876422742072821,0.15802818227537685
8,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0506.json,506,21,15.332250671478233,13.573265952517605,3.0720288335322117,0.7301071748322968,74511.74365265666,0.6990487061384246,0.7575711272028427,200.95293443490394,7.430392287752312,4.361658089826388,5.009367283395001,380.06178839506185,12.543996383196482,10.749877042061666,1.1842540555424894,0.9742129013923991,140.3094946720074,0.7631401314659665,1.1275343169674448e+20,0.6320552300976401,2.8716366985718143,0.15730586654667847
9,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0007.json,7,21,14.670076695072671,12.962395430607877,2.762159789287499,0.6985750807177462,73991.18942096067,0.696640952564014,0.7524279675982466,203.09427172787505,7.430393410124183,4.287951864854565,5.252648651835383,420.37046037037044,12.612880752700779,10.725261736360215,1.1902570039580307,0.9794440403544744,141.4739826790844,0.7599545809973568,1.1297041514627718e+20,0.6307768387665914,2.8833539834096578,0.1579757574736527
10,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0422.json,422,21,14.640182225047655,13.012349979089256,2.8823287887278504,0.6971515345260788,74482.8416592173,0.6957214824198618,0.7576788115253733,204.6064891563684,7.430394522146221,4.217691868867653,4.744267033939312,360.30870197530885,12.692443697546604,10.70678587906824,1.192494836818995,0.9767469891666849,140.83265407389263,0.7613790258309471,1.1293098474088782e+20,0.6349100418442823,2.8808783376717555,0.157385402486753
11,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0572.json,572,21,14.399581951756707,12.736624820751302,2.997384527303386,0.6856943786550813,75544.96281976961,0.6973807922742487,0.7550251143408286,203.21482754219218,7.43038949680873,4.295437778192997,4.946142160069748,345.3086919753089,12.521634645284172,10.695392383968255,1.194295487665853,0.9822378846352565,139.7853731934834,0.7639438888647846,1.1328126645244923e+20,0.6349216282964815,2.8803271024181454,0.156064655019144
12,rl_dataset_delta_sampling_maxloop=2_grid_51_preprocessed/trajectory_0568.json,568,21,14.325032615889414,12.647400395658135,2.565306238765741,0.6821444102804483,72799.54407556266,0.6961048254186705,0.7473063466640663,202.9357970236512,7.430388563096137,4.273542451882753,4.675414074670132,414.6297296296297,12.473163735565215,10.829315037472043,1.1866463318909954,0.9741631012575782,142.56142101156323,0.7563747482142565,1.1257061279299448e+20,0.8469376324758597,2.8571604201801204,0.15990911256908705
